date,price
1463356800,7.02
1463443200,7.27
1463529600,7.4
1463616000,7.39
1463702400,7.67
1463788800,7.95
1463875200,8.27
1463961600,8.06
1464048000,8.09
1464134400,7.75
1464220800,7.62
1464307200,7.42
1464393600,7.47
1464480000,7.85
1464566400,8.19
1464652800,8.19
1464739200,8.18
1464825600,8.23
1464912000,8.12
1464998400,8.06
1465084800,8.04
1465171200,7.59
1465257600,7.77
1465344000,7.93
1465430400,7.88
1465516800,7.79
1465603200,7.83
1465689600,7.93
1465776000,7.65
1465862400,7.71
1465948800,8.2
1466035200,8.16
1466121600,8.66
1466208000,8.36
1466294400,8.16
1466380800,7.99
1466467200,8.27
1466553600,7.75
1466640000,7.38
1466726400,7.24
1466812800,7.11
1466899200,6.86
1466985600,6.78
1467072000,7.06
1467158400,6.92
1467244800,6.99
1467331200,7.13
1467417600,7.23
1467504000,7.19
1467590400,7.02
1467676800,7.09
1467763200,6.94
1467849600,6.98
1467936000,6.98
1468022400,7.47
1468108800,7.35
1468195200,7.44
1468281600,7.97
1468368000,7.86
1468454400,7.86
1468540800,7.73
1468627200,8.09
1468713600,8.25
1468800000,8.15
1468886400,8.22
1468972800,8.53
1469059200,8.43
1469145600,8.95
1469232000,9.27
1469318400,9.36
1469404800,9.24
1469491200,9.15
1469577600,8.9
1469664000,9.15
1469750400,9.32
1469836800,9.45
1469923200,9.18
1470009600,9.45
1470096000,10.02
1470182400,9.29
1470268800,9.32
1470355200,9.53
1470441600,9.71
1470528000,10.59
1470614400,10.34
1470700800,10.35
1470787200,10.32
1470873600,10.44
1470960000,11.09
1471046400,12.56
1471132800,12.82
1471219200,14.52
1471305600,13.23
1471392000,12.91
1471478400,12.45
1471564800,13.83
1471651200,13.75
1471737600,13.09
1471824000,13.41
1471910400,14.35
1471996800,13.49
1472083200,13.31
1472169600,12.29
1472256000,12.75
1472342400,12.59
1472428800,12.36
1472515200,11.65
1472601600,11.77
1472688000,11.89
1472774400,11.46
1472860800,11.37
1472947200,11.36
1473033600,11.36
1473120000,11.27
1473206400,10.94
1473292800,11.28
1473379200,11.68
1473465600,11.2
1473552000,11.42
1473638400,11.16
1473724800,12.31
1473811200,13.0
1473897600,12.74
1473984000,12.21
1474070400,11.72
1474156800,11.77
1474243200,11.68
1474329600,11.52
1474416000,11.47
1474502400,11.54
1474588800,11.52
1474675200,11.55
1474761600,11.52
1474848000,11.56
1474934400,11.41
1475020800,11.64
1475107200,11.59
1475193600,12.04
1475280000,12.1
1475366400,11.71
1475452800,11.79
1475539200,11.88
1475625600,12.05
1475712000,12.05
1475798400,12.05
1475884800,11.88
1475971200,11.73
1476057600,11.59
1476144000,11.69
1476230400,11.74
1476316800,11.43
1476403200,11.44
1476489600,11.52
1476576000,11.1
1476662400,10.84
1476748800,10.62
1476835200,10.2
1476921600,10.3
1477008000,10.55
1477094400,10.77
1477180800,10.37
1477267200,9.96
1477353600,9.86
1477440000,9.39
1477526400,9.32
1477612800,9.72
1477699200,9.07
1477785600,8.63
1477872000,9.68
1477958400,9.21
1478044800,9.01
1478131200,8.99
1478217600,9.13
1478304000,9.12
1478390400,9.21
1478476800,9.4
1478563200,9.88
1478649600,9.73
1478736000,9.67
1478822400,9.65
1478908800,9.69
1478995200,9.63
1479081600,9.54
1479168000,9.7
1479254400,9.64
1479340800,9.44
1479427200,9.02
1479513600,8.96
1479600000,8.5
1479686400,8.49
1479772800,8.58
1479859200,8.67
1479945600,8.44
1480032000,9.14
1480118400,9.11
1480204800,8.9
1480291200,9.07
1480377600,8.96
1480464000,8.82
1480550400,8.91
1480636800,8.75
1480723200,8.64
1480809600,8.87
1480896000,8.8
1480982400,8.56
1481068800,8.78
1481155200,8.69
1481241600,8.75
1481328000,8.84
1481414400,8.88
1481500800,9.52
1481587200,9.07
1481673600,9.4
1481760000,9.18
1481846400,9.29
1481932800,9.87
1482019200,9.72
1482105600,9.88
1482192000,10.33
1482278400,10.23
1482364800,9.84
1482451200,9.77
1482537600,9.59
1482624000,9.82
1482710400,9.98
1482796800,9.72
1482883200,9.73
1482969600,10.06
1483056000,10.83
1483142400,11.14
1483228800,11.21
1483315200,11.27
1483401600,11.81
1483488000,12.81
1483574400,16.58
1483660800,14.42
1483747200,11.96
1483833600,12.42
1483920000,12.57
1484006400,12.02
1484092800,12.47
1484179200,11.29
1484265600,12.22
1484352000,12.59
1484438400,12.08
1484524800,12.37
1484611200,12.92
1484697600,14.25
1484784000,14.12
1484870400,15.14
1484956800,15.19
1485043200,15.0
1485129600,15.13
1485216000,15.11
1485302400,14.1
1485388800,14.49
1485475200,15.06
1485561600,15.33
1485648000,15.26
1485734400,15.5
1485820800,15.93
1485907200,16.05
1485993600,15.98
1486080000,16.31
1486166400,17.55
1486252800,17.54
1486339200,17.07
1486425600,17.11
1486512000,17.14
1486598400,17.34
1486684800,16.58
1486771200,16.69
1486857600,17.15
1486944000,16.88
1487030400,16.85
1487116800,18.1
1487203200,19.64
1487289600,19.47
1487376000,20.05
1487462400,21.46
1487548800,22.6
1487635200,21.6
1487721600,21.24
1487808000,22.09
1487894400,25.05
1487980800,26.23
1488067200,26.67
1488153600,28.1
1488240000,28.24
1488326400,32.62
1488412800,42.47
1488499200,44.04
1488585600,47.17
1488672000,43.14
1488758400,42.22
1488844800,46.57
1488931200,45.55
1489017600,42.24
1489104000,51.09
1489190400,50.4
1489276800,72.71
1489363200,76.96
1489449600,74.61
1489536000,89.06
1489622400,95.42
1489708800,89.56
1489795200,101.04
1489881600,107.55
1489968000,108.16
1490054400,99.91
1490140800,95.68
1490227200,101.26
1490313600,101.57
1490400000,96.98
1490486400,94.31
1490572800,93.63
1490659200,84.28
1490745600,87.82
1490832000,84.42
1490918400,79.51
1491004800,74.3
1491091200,68.26
1491177600,56.73
1491264000,63.42
1491350400,69.12
1491436800,74.45
1491523200,66.47
1491609600,66.08
1491696000,67.8
1491782400,64.73
1491868800,61.3
1491955200,60.71
1492041600,68.1
1492128000,72.61
1492214400,70.81
1492300800,75.07
1492387200,75.32
1492473600,75.63
1492560000,72.76
1492646400,72.18
1492732800,71.48
1492819200,70.85
1492905600,71.18
1492992000,68.93
1493078400,72.19
1493164800,72.04
1493251200,71.52
1493337600,78.02
1493424000,79.67
1493510400,94.21
1493596800,91.5
1493683200,87.91
1493769600,86.24
1493856000,90.12
1493942400,92.87
1494028800,99.18
1494115200,99.53
1494201600,106.55
1494288000,101.12
1494374400,92.89
1494460800,91.62
1494547200,91.8
1494633600,86.75
1494720000,89.56
1494806400,89.88
1494892800,91.68
1494979200,85.64
1495065600,83.21
1495152000,89.87
1495238400,98.83
1495324800,100.72
